id,drawDate,mainNumbers,bonusNumber
draw-001,2024-01-01,"1,2,3,4,5",10
draw-002,2024-01-02,"6,7,8,9,10",15
draw-003,2024-01-03,"11,12,13,14,15",20
draw-004,2024-01-04,"16,17,18,19,20",25
draw-005,2024-01-05,"21,22,23,24,25",5
draw-006,2024-01-06,"26,27,28,29,30",12
draw-007,2024-01-07,"31,32,33,34,35",8
draw-008,2024-01-08,"36,37,38,39,40",18
draw-009,2024-01-09,"41,42,43,44,45",22
draw-010,2024-01-10,"46,47,48,49,50",3
draw-011,2024-01-11,"1,3,5,7,9",11
draw-012,2024-01-12,"2,4,6,8,10",13
draw-013,2024-01-13,"11,13,15,17,19",16
draw-014,2024-01-14,"12,14,16,18,20",19
draw-015,2024-01-15,"21,23,25,27,29",7
draw-016,2024-01-16,"22,24,26,28,30",14
draw-017,2024-01-17,"31,33,35,37,39",21
draw-018,2024-01-18,"32,34,36,38,40",4
draw-019,2024-01-19,"41,43,45,47,49",9
draw-020,2024-01-20,"42,44,46,48,50",17
draw-021,2024-01-21,"1,10,20,30,40",6
draw-022,2024-01-22,"2,11,21,31,41",24
draw-023,2024-01-23,"3,12,22,32,42",2
draw-024,2024-01-24,"4,13,23,33,43",20
draw-025,2024-01-25,"5,14,24,34,44",11
draw-026,2024-01-26,"6,15,25,35,45",26
draw-027,2024-01-27,"7,16,26,36,46",1
draw-028,2024-01-28,"8,17,27,37,47",23
draw-029,2024-01-29,"9,18,28,38,48",10
draw-030,2024-01-30,"10,19,29,39,49",15
draw-031,2024-02-01,"5,10,15,20,25",8
draw-032,2024-02-02,"6,11,16,21,26",14
draw-033,2024-02-03,"7,12,17,22,27",19
draw-034,2024-02-04,"8,13,18,23,28",4
draw-035,2024-02-05,"9,14,19,24,29",12
draw-036,2024-02-06,"10,15,20,25,30",18
draw-037,2024-02-07,"11,16,21,26,31",22
draw-038,2024-02-08,"12,17,22,27,32",7
draw-039,2024-02-09,"13,18,23,28,33",16
draw-040,2024-02-10,"14,19,24,29,34",25
draw-041,2024-02-11,"2,8,14,20,26",9
draw-042,2024-02-12,"3,9,15,21,27",17
draw-043,2024-02-13,"4,10,16,22,28",24
draw-044,2024-02-14,"5,11,17,23,29",6
draw-045,2024-02-15,"6,12,18,24,30",13
draw-046,2024-02-16,"7,13,19,25,31",21
draw-047,2024-02-17,"8,14,20,26,32",2
draw-048,2024-02-18,"9,15,21,27,33",11
draw-049,2024-02-19,"10,16,22,28,34",19
draw-050,2024-02-20,"11,17,23,29,35",5
